Product Name, Year Month , Warehouse Inventory ,Inventory Cost Per Unit
Rock music,201711,2,0.73288
Elevation Training Mask 2.0,201711,0,0.19942
LIJA Women's Mid-Length Panel Golf Shorts,201711,0,0.62155
Toys,201711,0,1.09646
Brooks Women's Ghost 6 Running Shoe,201711,0,0.34501
Bag Boy M330 Push Cart,201711,0,1.55828
Merrell Women's Grassbow Sport Hiking Shoe,201711,0,0.53424
Nike Men's Free TR 5.0 TB Training Shoe,201711,0,0.7889
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201711,0,0.37848
First aid kit,201711,0,2.29855
CDs of rock,201711,3,0.85409
Polar FT4 Heart Rate Monitor,201711,0,1.77867
LIJA Women's Argyle Golf Polo,201711,0,1.2768
TaylorMade White Smoke IN-12 Putter,201711,0,2.26641
Fitbit The One Wireless Activity & Sleep Trac,201711,0,1.56387
Nike Kids' Grade School KD VI Basketball Shoe,201711,0,0.66894
The North Face Women's Recon Backpack,201711,0,0.64597
Smart watch,201711,30,1.08703
Baby sweater,201711,10,0.30632
MDGolf Pittsburgh Penguins Putter,201711,0,1.19935
Men's gala suit,201711,5,1.20661
Merrell Men's All Out Flash Trail Running Sho,201711,2,1.98059
Garmin Approach S3 Golf GPS Watch,201711,0,1.21618
LIJA Women's Button Golf Dress,201711,0,1.44057
Cleveland Golf Women's 588 RTX CB Satin Chrom,201711,0,1.75228
Merrell Women's Siren Mid Waterproof Hiking B,201711,0,1.97427
TaylorMade Women's RBZ SL Rescue,201711,0,0.37808
Mio ALPHA Heart Rate Monitor/Sport Watch,201711,0,1.04173
TaylorMade 2017 Purelite Stand Bag,201711,0,0.23332
Cleveland Golf Collegiate My Custom Wedge 588,201711,0,1.03187
adidas Brazuca 2017 Official Match Ball,201711,0,2.02978
Nike Men's Fingertrap Max Training Shoe,201711,0,0.5335
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201711,2,0.5909
Nike Men's Kobe IX Elite Low Basketball Shoe,201711,0,0.5749
Ogio Race Golf Shoes,201711,0,0.39652
insta-bed Neverflat Air Mattress,201711,0,1.65185
GolfBuddy VT3 GPS Watch,201711,0,1.46056
Merrell Women's Grassbow Sport Waterproof Hik,201711,0,2.07629
Titleist Small Wheeled Travel Cover,201711,0,0.77099
Polar Loop Activity Tracker,201711,1,1.0942
Pelican Maverick 100X Kayak,201711,0,1.63028
Garmin Approach S4 Golf GPS Watch,201711,0,2.32042
Total Gym 1400,201711,0,2.02645
Garmin Forerunner 910XT GPS Watch,201711,0,1.4785
Titleist Club Glove Travel Cover,201711,0,0.99194
GoPro HERO3+ Black Edition Camera,201711,0,0.70677
Diamondback Boys' Insight 24 Performance Hybr,201711,0,2.32551
Diamondback Girls' Clarity 24 Hybrid Bike 201,201711,0,1.95685
Stiga Master Series ST3100 Competition Indoor,201711,0,0.62974
SOLE E35 Elliptical,201711,6,1.20568
Bushnell Pro X7 Jolt Slope Rangefinder,201711,34,1.75316
SOLE E25 Elliptical,201711,24,2.00579
Bowflex SelectTech 1090 Dumbbells,201711,7,1.35111
Perfect Fitness Perfect Rip Deck,201710,2,2.28291
Nike Men's Dri-FIT Victory Golf Polo,201710,19,2.29996
O'Brien Men's Neoprene Life Vest,201710,8,2.0023
Nike Men's Free 5.0+ Running Shoe,201710,7,1.31385
Under Armour Girls' Toddler Spine Surge Runni,201710,14,1.33668
Nike Men's CJ Elite 2 TD Football Cleat,201710,0,0.44156
Field & Stream Sportsman 16 Gun Fire Safe,201710,0,0.40466
Pelican Sunstream 100 Kayak,201710,0,2.03988
Diamondback Women's Serene Classic Comfort Bi,201710,0,1.77754
ENO Atlas Hammock Straps,201710,0,1.05987
Nike Men's Comfort 2 Slide,201710,0,0.97586
adidas Youth Germany Black/Red Away Match Soc,201710,0,1.57212
Team Golf St. Louis Cardinals Putter Grip,201710,0,0.36145
LIJA Women's Eyelet Sleeveless Golf Polo,201710,0,1.55363
adidas Men's F10 Messi TRX FG Soccer Cleat,201710,0,2.24155
Glove It Women's Imperial Golf Glove,201710,0,0.14742
Glove It Imperial Golf Towel,201710,0,1.28418
Bridgestone e6 Straight Distance NFL Carolina,201710,0,0.88873
Glove It Women's Mod Oval 3-Zip Carry All Gol,201710,0,2.17162
Columbia Men's PFG Anchor Tough T-Shirt,201710,0,2.2386
Under Armour Women's Ignite Slide,201710,0,1.56443
Team Golf Tennessee Volunteers Putter Grip,201710,0,2.11911
Titleist Pro V1x High Numbers Personalized Go,201710,0,2.11361
Nike Men's Deutschland Weltmeister Winners Bl,201710,0,0.44429
Bridgestone e6 Straight Distance NFL San Dieg,201710,0,0.2727
Nike Women's Tempo Shorts,201710,0,0.31513
Team Golf Texas Longhorns Putter Grip,201710,0,0.85579
Hirzl Women's Soffft Flex Golf Glove,201710,0,1.68079
Clicgear 8.0 Shoe Brush,201710,0,0.75891
Hirzl Women's Hybrid Golf Glove,201710,0,2.0864
Team Golf Pittsburgh Steelers Putter Grip,201710,0,2.21873
Top Flite Women's 2017 XL Hybrid,201710,2,2.03709
Glove It Urban Brick Golf Towel,201710,0,2.31327
Nike Dri-FIT Crew Sock 6 Pack,201710,0,0.82014
TYR Boys' Team Digi Jammer,201710,0,0.30068
Team Golf San Francisco Giants Putter Grip,201710,0,1.88387
Clicgear Rovic Cooler Bag,201710,0,2.14677
Hirzl Men's Hybrid Golf Glove,201710,0,2.18555
Titleist Pro V1x Golf Balls,201710,0,1.29717
adidas Men's Germany Black Crest Away Tee,201710,0,1.03461
Titleist Pro V1 High Numbers Personalized Gol,201710,0,1.30144
Under Armour Women's Micro G Skulpt Running S,201710,0,1.17006
Under Armour Hustle Storm Medium Duffle Bag,201710,0,1.88358
Under Armour Women's Ignite PIP VI Slide,201710,0,0.23134
Bag Boy Beverage Holder,201710,0,0.14176
Under Armour Men's Tech II T-Shirt,201710,0,0.19946
Team Golf New England Patriots Putter Grip,201710,0,1.0851
Under Armour Men's Compression EV SL Slide,201710,0,0.10481
Bridgestone e6 Straight Distance NFL Tennesse,201710,0,1.51056
Glove It Women's Mod Oval Golf Glove,201710,0,0.77133
Titleist Pro V1x High Numbers Golf Balls,201710,0,0.90062
Nike Women's Legend V-Neck T-Shirt,201710,0,1.48976
Under Armour Kids' Mercenary Slide,201710,0,1.3402
adidas Kids' F5 Messi FG Soccer Cleat,201710,0,1.85932
Children's heaters,201710,3,2.28254
Web Camera,201710,234,0.88759
Dell Laptop,201710,33,1.59011
Porcelain crafts,201710,39,1.99338
Sports Books,201710,58,2.03661
DVDs,201710,41,0.17026
Industrial consumer electronics,201710,5,0.67386
Fighting video games,201710,0,1.93933
Summer dresses,201710,0,1.95157
Lawn mower,201710,0,0.28382
Adult dog supplies,201710,0,1.58566
Rock music,201710,0,0.98812
Elevation Training Mask 2.0,201710,0,1.73172
LIJA Women's Mid-Length Panel Golf Shorts,201710,0,0.51203
Toys,201710,0,1.73503
Brooks Women's Ghost 6 Running Shoe,201710,0,0.34837
Bag Boy M330 Push Cart,201710,0,1.52002
Merrell Women's Grassbow Sport Hiking Shoe,201710,0,1.35694
Nike Men's Free TR 5.0 TB Training Shoe,201710,0,0.14742
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201710,0,1.67831
First aid kit,201710,0,0.92517
CDs of rock,201710,34,2.22295
Polar FT4 Heart Rate Monitor,201710,0,1.1344
LIJA Women's Argyle Golf Polo,201710,0,0.25182
TaylorMade White Smoke IN-12 Putter,201710,0,0.57951
Fitbit The One Wireless Activity & Sleep Trac,201710,0,0.41727
Nike Kids' Grade School KD VI Basketball Shoe,201710,0,1.77219
The North Face Women's Recon Backpack,201710,0,0.60513
Smart watch,201710,0,1.54556
Baby sweater,201710,27,1.52727
MDGolf Pittsburgh Penguins Putter,201710,1,0.74719
Men's gala suit,201710,0,1.0719
Merrell Men's All Out Flash Trail Running Sho,201710,0,1.34555
Garmin Approach S3 Golf GPS Watch,201710,4,1.83329
LIJA Women's Button Golf Dress,201710,0,2.2351
Cleveland Golf Women's 588 RTX CB Satin Chrom,201710,1,0.79587
Merrell Women's Siren Mid Waterproof Hiking B,201710,0,0.70591
TaylorMade Women's RBZ SL Rescue,201710,0,0.41059
Mio ALPHA Heart Rate Monitor/Sport Watch,201710,0,0.96631
TaylorMade 2017 Purelite Stand Bag,201710,0,1.47356
Cleveland Golf Collegiate My Custom Wedge 588,201710,0,2.31264
adidas Brazuca 2017 Official Match Ball,201710,2,0.85572
Nike Men's Fingertrap Max Training Shoe,201710,0,1.0038
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201710,0,0.6631
Nike Men's Kobe IX Elite Low Basketball Shoe,201710,0,2.14424
Ogio Race Golf Shoes,201710,0,0.95115
insta-bed Neverflat Air Mattress,201710,0,0.13712
GolfBuddy VT3 GPS Watch,201710,0,1.8096
Merrell Women's Grassbow Sport Waterproof Hik,201710,0,1.52272
Titleist Small Wheeled Travel Cover,201710,0,1.37731
Polar Loop Activity Tracker,201710,0,1.61345
Pelican Maverick 100X Kayak,201710,0,0.84104
Garmin Approach S4 Golf GPS Watch,201710,0,0.16798
Total Gym 1400,201710,0,2.13241
Garmin Forerunner 910XT GPS Watch,201710,2,0.53606
Titleist Club Glove Travel Cover,201710,0,2.32454
GoPro HERO3+ Black Edition Camera,201710,1,1.37089
Diamondback Boys' Insight 24 Performance Hybr,201710,4,2.15012
Diamondback Girls' Clarity 24 Hybrid Bike 201,201710,0,1.81528
Stiga Master Series ST3100 Competition Indoor,201710,0,1.30528
SOLE E35 Elliptical,201710,10,2.07893
Bushnell Pro X7 Jolt Slope Rangefinder,201710,29,1.82287
SOLE E25 Elliptical,201710,7,1.92174
Bowflex SelectTech 1090 Dumbbells,201710,10,2.32944
Perfect Fitness Perfect Rip Deck,201709,536,1.65666
Nike Men's Dri-FIT Victory Golf Polo,201709,531,0.92767
O'Brien Men's Neoprene Life Vest,201709,150,0.91578
Nike Men's Free 5.0+ Running Shoe,201709,105,0.35137
Under Armour Girls' Toddler Spine Surge Runni,201709,165,1.42805
Nike Men's CJ Elite 2 TD Football Cleat,201709,106,1.02406
Field & Stream Sportsman 16 Gun Fire Safe,201709,8,1.49661
Pelican Sunstream 100 Kayak,201709,29,1.60905
Diamondback Women's Serene Classic Comfort Bi,201709,34,0.76535
ENO Atlas Hammock Straps,201709,0,1.35184
Nike Men's Comfort 2 Slide,201709,0,1.71565
adidas Youth Germany Black/Red Away Match Soc,201709,0,0.60725
Team Golf St. Louis Cardinals Putter Grip,201709,0,2.2529
LIJA Women's Eyelet Sleeveless Golf Polo,201709,0,1.38791
adidas Men's F10 Messi TRX FG Soccer Cleat,201709,0,0.79231
Glove It Women's Imperial Golf Glove,201709,0,1.71396
Glove It Imperial Golf Towel,201709,0,0.92872
Bridgestone e6 Straight Distance NFL Carolina,201709,0,0.45655
Glove It Women's Mod Oval 3-Zip Carry All Gol,201709,0,1.39589
Columbia Men's PFG Anchor Tough T-Shirt,201709,0,2.04095
Under Armour Women's Ignite Slide,201709,0,1.22315
Team Golf Tennessee Volunteers Putter Grip,201709,0,0.49377
Titleist Pro V1x High Numbers Personalized Go,201709,0,1.42176
Nike Men's Deutschland Weltmeister Winners Bl,201709,5,1.14285
Bridgestone e6 Straight Distance NFL San Dieg,201709,0,1.66305
Nike Women's Tempo Shorts,201709,0,1.92086
Team Golf Texas Longhorns Putter Grip,201709,0,1.0289
Hirzl Women's Soffft Flex Golf Glove,201709,0,2.13977
Clicgear 8.0 Shoe Brush,201709,0,1.71882
Hirzl Women's Hybrid Golf Glove,201709,0,0.18068
Team Golf Pittsburgh Steelers Putter Grip,201709,0,1.37973
Top Flite Women's 2017 XL Hybrid,201709,4,0.76409
Glove It Urban Brick Golf Towel,201709,0,1.7704
Nike Dri-FIT Crew Sock 6 Pack,201709,0,1.30814
TYR Boys' Team Digi Jammer,201709,0,0.71103
Team Golf San Francisco Giants Putter Grip,201709,0,1.72032
Clicgear Rovic Cooler Bag,201709,0,2.18041
Hirzl Men's Hybrid Golf Glove,201709,0,0.65849
Titleist Pro V1x Golf Balls,201709,0,1.4836
adidas Men's Germany Black Crest Away Tee,201709,0,2.10537
Titleist Pro V1 High Numbers Personalized Gol,201709,0,2.16276
Under Armour Women's Micro G Skulpt Running S,201709,0,0.19311
Under Armour Hustle Storm Medium Duffle Bag,201709,0,1.74441
Under Armour Women's Ignite PIP VI Slide,201709,0,2.00793
Bag Boy Beverage Holder,201709,1,0.60164
Under Armour Men's Tech II T-Shirt,201709,0,0.41537
Team Golf New England Patriots Putter Grip,201709,0,1.31945
Under Armour Men's Compression EV SL Slide,201709,0,0.36877
Bridgestone e6 Straight Distance NFL Tennesse,201709,0,1.19864
Glove It Women's Mod Oval Golf Glove,201709,0,0.34217
Titleist Pro V1x High Numbers Golf Balls,201709,0,0.94261
Nike Women's Legend V-Neck T-Shirt,201709,0,1.17867
Under Armour Kids' Mercenary Slide,201709,0,0.91376
adidas Kids' F5 Messi FG Soccer Cleat,201709,0,1.70442
Children's heaters,201709,2,2.17739
Web Camera,201709,15,1.88508
Dell Laptop,201709,2,0.92704
Porcelain crafts,201709,0,0.4288
Sports Books,201709,0,0.99432
DVDs,201709,2,2.22212
Industrial consumer electronics,201709,0,1.17657
Fighting video games,201709,0,0.63984
Summer dresses,201709,0,0.72677
Lawn mower,201709,0,0.47674
Adult dog supplies,201709,0,0.67386
Rock music,201709,0,2.17014
Elevation Training Mask 2.0,201709,3,1.28252
LIJA Women's Mid-Length Panel Golf Shorts,201709,3,0.82689
Toys,201709,0,1.86337
Brooks Women's Ghost 6 Running Shoe,201709,8,0.37901
Bag Boy M330 Push Cart,201709,4,1.39513
Merrell Women's Grassbow Sport Hiking Shoe,201709,10,0.31175
Nike Men's Free TR 5.0 TB Training Shoe,201709,3,2.07699
Nike Women's Free 5.0 TR FIT PRT 4 Training S,201709,8,1.65839
First aid kit,201709,0,2.18083
CDs of rock,201709,1,0.87013
Polar FT4 Heart Rate Monitor,201709,8,1.12102
LIJA Women's Argyle Golf Polo,201709,4,1.50784
TaylorMade White Smoke IN-12 Putter,201709,0,1.33605
Fitbit The One Wireless Activity & Sleep Trac,201709,1,2.04271
Nike Kids' Grade School KD VI Basketball Shoe,201709,14,0.47433
The North Face Women's Recon Backpack,201709,1,0.95934
Smart watch,201709,0,1.26862
Baby sweater,201709,1,1.29588
MDGolf Pittsburgh Penguins Putter,201709,0,2.09891
Men's gala suit,201709,0,1.73888
Merrell Men's All Out Flash Trail Running Sho,201709,3,2.23425
Garmin Approach S3 Golf GPS Watch,201709,2,0.78309
LIJA Women's Button Golf Dress,201709,0,0.29808
Cleveland Golf Women's 588 RTX CB Satin Chrom,201709,0,1.89474
Merrell Women's Siren Mid Waterproof Hiking B,201709,2,0.1242
TaylorMade Women's RBZ SL Rescue,201709,4,1.1345
Mio ALPHA Heart Rate Monitor/Sport Watch,201709,3,0.60951
TaylorMade 2017 Purelite Stand Bag,201709,0,0.12471
Cleveland Golf Collegiate My Custom Wedge 588,201709,0,1.19893
adidas Brazuca 2017 Official Match Ball,201709,0,2.07119
Nike Men's Fingertrap Max Training Shoe,201709,2,2.23725
Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,201709,4,2.20668
Nike Men's Kobe IX Elite Low Basketball Shoe,201709,0,2.1592
Ogio Race Golf Shoes,201709,0,0.32396
insta-bed Neverflat Air Mattress,201709,0,1.86747
GolfBuddy VT3 GPS Watch,201709,3,0.94895
Merrell Women's Grassbow Sport Waterproof Hik,201709,0,2.12731
Titleist Small Wheeled Travel Cover,201709,0,2.07193
Polar Loop Activity Tracker,201709,3,1.21829
Pelican Maverick 100X Kayak,201709,3,1.41186
Garmin Approach S4 Golf GPS Watch,201709,2,0.17691
Total Gym 1400,201709,1,0.19243
Garmin Forerunner 910XT GPS Watch,201709,2,0.78205
Titleist Club Glove Travel Cover,201709,3,0.98067
GoPro HERO3+ Black Edition Camera,201709,0,0.58346
Diamondback Boys' Insight 24 Performance Hybr,201709,0,1.93983
Diamondback Girls' Clarity 24 Hybrid Bike 201,201709,2,1.1197
Stiga Master Series ST3100 Competition Indoor,201709,4,2.13431
SOLE E35 Elliptical,201709,10,0.35477
Bushnell Pro X7 Jolt Slope Rangefinder,201709,27,1.20039
SOLE E25 Elliptical,201709,7,1.42652
Bowflex SelectTech 1090 Dumbbells,201709,39,1.81722
Perfect Fitness Perfect Rip Deck,201708,158,0.56871
Nike Men's Dri-FIT Victory Golf Polo,201708,154,1.15865
O'Brien Men's Neoprene Life Vest,201708,436,1.93181
Nike Men's Free 5.0+ Running Shoe,201708,234,2.17224
Under Armour Girls' Toddler Spine Surge Runni,201708,329,0.91808
Nike Men's CJ Elite 2 TD Football Cleat,201708,52,1.18195
Field & Stream Sportsman 16 Gun Fire Safe,201708,167,1.9601
Pelican Sunstream 100 Kayak,201708,129,2.04143
Diamondback Women's Serene Classic Comfort Bi,201708,6,1.25768
ENO Atlas Hammock Straps,201708,0,0.89496
Nike Men's Comfort 2 Slide,201708,0,1.11522
adidas Youth Germany Black/Red Away Match Soc,201708,3,2.19082
Team Golf St. Louis Cardinals Putter Grip,201708,0,0.8672
LIJA Women's Eyelet Sleeveless Golf Polo,201708,0,2.15979
adidas Men's F10 Messi TRX FG Soccer Cleat,201708,0,0.68625
Glove It Women's Imperial Golf Glove,201708,0,0.96125
Glove It Imperial Golf Towel,201708,0,2.0322
